time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,eval/mean_reward,eval/mean_ep_length
368,500.0,11016.179568389998,412,184000,445,,,,,,,,
372,500.0,11402.714220699998,421,188000,446,487.9253369140625,-1547.4983862304687,22200,0.00611115550622344,0.0003,1.1075002551078796,,
376,500.0,11402.714220699998,421,188000,446,,,,,,,,
380,500.0,11659.46572129,430,192000,446,437.3772509765625,-1571.5741284179687,22700,0.001021860787877813,0.0003,1.0886433339118957,,
384,500.0,11659.46572129,430,192000,446,,,,,,,,
388,500.0,11801.31133998,439,196000,446,500.95699401855467,-1597.5175415039062,23200,0.0009596861829049885,0.0003,1.0869698858261108,,
392,500.0,11801.31133998,439,196000,446,,,,,,,,
396,500.0,11816.831495139997,447,200000,446,477.87723236083986,-1612.3714233398437,23700,0.00023134810384362937,0.0003,1.0666608715057373,,
400,500.0,11816.831495139997,447,200000,446,,,,,,,,
404,500.0,11853.293005009999,456,204000,446,460.835573425293,-1631.6111669921875,24200,0.0005390232591889799,0.0003,1.0503250908851625,,
408,500.0,11853.293005009999,456,204000,446,,,,,,,,
412,500.0,11958.269585189999,465,208000,447,373.74662200927736,-1654.7794775390626,24700,0.00043168923119083044,0.0003,1.0355994606018066,,
416,500.0,11958.269585189999,465,208000,447,,,,,,,,
420,500.0,12088.767935199998,474,212000,447,383.8658624267578,-1674.933251953125,25200,0.0001668787933886051,0.0003,1.0157408261299132,,
424,500.0,12088.767935199998,474,212000,447,,,,,,,,
428,500.0,12167.909262989999,482,216000,447,385.0726905822754,-1700.6027465820312,25700,0.0001346119405934587,0.0003,1.0132264709472656,,
432,500.0,12167.909262989999,482,216000,447,,,,,,,,
436,500.0,12323.01544233,491,220000,447,428.72615646362306,-1717.6740551757812,26200,-0.00025563832401530816,0.0003,1.012042021751404,,
440,500.0,12323.01544233,491,220000,447,,,,,,,,
444,500.0,12540.835435460003,500,224000,447,431.4660824584961,-1737.9397045898438,26700,-0.00016092711593955754,0.0003,1.0315512537956237,,
448,500.0,12540.835435460003,500,224000,447,,,,,,,,
452,500.0,12677.986083600003,508,228000,447,455.1761949157715,-1762.4541284179688,27200,3.879356947436463e-05,0.0003,1.0032156205177307,,
456,500.0,12677.986083600003,508,228000,447,,,,,,,,
460,500.0,12773.04399308,517,232000,448,415.3158073425293,-1783.3643505859375,27700,0.0002401668854872696,0.0003,1.0097017121315002,,
464,500.0,12773.04399308,517,232000,448,,,,,,,,
468,500.0,12820.181686529999,526,236000,448,369.798215637207,-1804.3986181640626,28200,-0.00021940570673905312,0.0003,0.9841273307800293,,
472,500.0,12820.181686529999,526,236000,448,,,,,,,,
,,,,240000,,374.2851513671875,-1816.2868188476561,28700,-7.289857399882749e-05,0.0003,0.9826015901565551,13185.773170800001,500.0
476,500.0,12840.754892519999,539,240000,445,,,,,,,,
480,500.0,12840.754892519999,539,240000,445,,,,,,,,
484,500.0,12852.42721589,548,244000,445,393.19896392822267,-1839.6751245117186,29200,-0.00019652965012937785,0.0003,1.0116198348999024,,
488,500.0,12852.42721589,548,244000,445,,,,,,,,
492,500.0,12874.410712299996,556,248000,445,391.70579498291016,-1855.2137060546875,29700,0.000107365006551845,0.0003,0.9962660670280457,,
496,500.0,12874.410712299996,556,248000,445,,,,,,,,
500,500.0,12927.53447372,565,252000,445,368.7686184692383,-1878.521416015625,30200,-0.00012412143987603486,0.0003,0.9912442791461945,,
504,500.0,12927.53447372,565,252000,445,,,,,,,,
508,500.0,12963.342552349995,574,256000,445,340.18705383300784,-1899.6148266601563,30700,-0.0008522191661177203,0.0003,0.9683071267604828,,
512,500.0,12963.342552349995,574,256000,445,,,,,,,,
516,500.0,12987.225160759997,583,260000,445,270.8736570739746,-1916.859375,31200,0.00015835737925954163,0.0003,0.960210176706314,,
520,500.0,12987.225160759997,583,260000,445,,,,,,,,
524,500.0,13023.179846309999,591,264000,446,285.6536167907715,-1936.63443359375,31700,-0.0017539534508250654,0.0003,0.9498388576507568,,
528,500.0,13023.179846309999,591,264000,446,,,,,,,,
532,500.0,13027.63555883,600,268000,446,274.0916351318359,-1953.2879077148436,32200,-0.0007092190766707063,0.0003,0.9555023860931396,,
536,500.0,13027.63555883,600,268000,446,,,,,,,,
540,500.0,13041.767801679998,609,272000,446,260.26716888427734,-1970.2195361328124,32700,-0.0005783498217351734,0.0003,0.9582452023029328,,
544,500.0,13041.767801679998,609,272000,446,,,,,,,,
548,500.0,13058.47799187,618,276000,446,307.38248565673825,-1986.5892724609375,33200,-0.0013376260688528418,0.0003,0.9556597733497619,,
552,500.0,13058.47799187,618,276000,446,,,,,,,,
556,500.0,13068.096712830004,626,280000,446,353.5227960205078,-2002.99630859375,33700,-0.00029172526788897815,0.0003,0.9589965462684631,,
560,500.0,13068.096712830004,626,280000,446,,,,,,,,
564,500.0,13069.888862690004,635,284000,446,270.8748793029785,-2021.3477001953124,34200,0.0016698568360880017,0.0003,0.9487326729297638,,
568,500.0,13069.888862690004,635,284000,446,,,,,,,,
572,500.0,13073.07501648,644,288000,446,270.2953159332275,-2038.1815869140626,34700,-0.00013378236908465624,0.0003,0.9491424286365509,,
576,500.0,13073.07501648,644,288000,446,,,,,,,,
580,500.0,13073.46801079,653,292000,447,297.8298028564453,-2057.573371582031,35200,-0.0007623108814004809,0.0003,0.944857097864151,,
584,500.0,13073.46801079,653,292000,447,,,,,,,,
588,500.0,13080.918712129998,661,296000,447,238.1967512512207,-2073.4297900390625,35700,0.00033670634846203027,0.0003,0.9367033267021179,,
592,500.0,13080.918712129998,661,296000,447,,,,,,,,
596,500.0,13086.993300940001,670,300000,447,295.61825820922854,-2088.2839501953126,36200,-0.0012543102528434246,0.0003,0.9366546165943146,,
600,500.0,13086.993300940001,670,300000,447,,,,,,,,
604,500.0,13092.324453680003,679,304000,447,225.08431045532225,-2106.9366235351563,36700,-4.707027692347765e-05,0.0003,0.8878897500038146,,
608,500.0,13092.324453680003,679,304000,447,,,,,,,,
612,500.0,13104.438707679998,688,308000,447,183.17837898254393,-2126.0958642578125,37200,-0.0014025131682865323,0.0003,0.8698050498962402,,
616,500.0,13104.438707679998,688,308000,447,,,,,,,,
620,500.0,13112.950854400004,696,312000,447,97.87632926940918,-2151.7390087890626,37700,-0.010329146874137224,0.0003,0.8405419778823853,,
624,500.0,13112.950854400004,696,312000,447,,,,,,,,
628,500.0,13131.31582115,705,316000,447,114.09173500061036,-2167.9150634765624,38200,-0.004994043628685176,0.0003,0.8103311038017273,,
632,500.0,13131.31582115,705,316000,447,,,,,,,,
,,,,320000,,74.64269836425781,-2181.1394091796874,38700,0.005077290302142501,0.0003,0.7960704529285431,13365.102364800001,500.0
636,500.0,13144.139667849997,718,320000,445,,,,,,,,
640,500.0,13144.139667849997,718,320000,445,,,,,,,,
644,500.0,13156.064355249999,727,324000,445,71.18542770385743,-2195.007509765625,39200,0.002841955302283168,0.0003,0.7801551485061645,,
648,500.0,13156.064355249999,727,324000,445,,,,,,,,
652,500.0,13161.753500859999,735,328000,445,71.8006510925293,-2209.01419921875,39700,-0.003389519741758704,0.0003,0.7786389243602753,,
656,500.0,13161.753500859999,735,328000,445,,,,,,,,
660,500.0,13174.41506294,744,332000,445,70.9042862701416,-2222.3376416015626,40200,0.005491906779352576,0.0003,0.7753838884830475,,
664,500.0,13174.41506294,744,332000,445,,,,,,,,
668,500.0,13180.23439324,753,336000,445,71.47515388488769,-2228.0325146484374,40700,0.008059073919430376,0.0003,0.7718065059185029,,
672,500.0,13180.23439324,753,336000,445,,,,,,,,
676,500.0,13176.00902502,762,340000,446,76.72840774536132,-2246.655830078125,41200,0.0025963614881038665,0.0003,0.7928948366641998,,
680,500.0,13176.00902502,762,340000,446,,,,,,,,
684,500.0,13176.13178969,771,344000,446,63.79978824615478,-2258.6323828125,41700,0.0026632730662822725,0.0003,0.7942361009120941,,
688,500.0,13176.13178969,771,344000,446,,,,,,,,
692,500.0,13181.854974909998,779,348000,446,56.75105834960937,-2270.8863330078125,42200,0.00012290124781429767,0.0003,0.8011050128936767,,
696,500.0,13181.854974909998,779,348000,446,,,,,,,,
700,500.0,13192.05655178,788,352000,446,58.316333312988284,-2287.7548828125,42700,0.0025426510535180567,0.0003,0.7832796227931976,,
704,500.0,13192.05655178,788,352000,446,,,,,,,,
708,500.0,13190.051837850002,797,356000,446,52.81055477142334,-2303.409697265625,43200,-0.0004117742320522666,0.0003,0.7750048196315765,,
712,500.0,13190.051837850002,797,356000,446,,,,,,,,
716,500.0,13194.598961740001,806,360000,446,47.28066951751709,-2317.96328125,43700,-0.0015771110611967742,0.0003,0.7722933042049408,,
720,500.0,13194.598961740001,806,360000,446,,,,,,,,
724,500.0,13191.330593089997,814,364000,446,32.41071891784668,-2335.75736328125,44200,-0.0018166425684466958,0.0003,0.7454306447505951,,
