train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,eval/mean_reward,eval/mean_ep_length
,500.0,796,,400000,,706,,-6794.671298749999,565,,,
,500.0,800,,400000,,706,,-6794.671298749999,565,,,
0.0003,500.0,804,67056,408000,272.45248651504517,710,1570.4736251831055,-6817.23562595,574,0.10000000149011612,,
,500.0,808,,408000,,710,,-6817.23562595,574,,,
,500.0,812,,408000,,710,,-6817.23562595,574,,,
,500.0,816,,408000,,710,,-6817.23562595,574,,,
0.0003,,,67184,410000,362.6553874015808,,1569.0799255371094,,,0.10000000149011612,-7747.071383799999,500.0
0.0003,500.0,820,67552,416000,433.2010660171509,709,1570.7626190185547,-7127.369198879999,586,0.10000000149011612,,
,500.0,824,,416000,,709,,-7127.369198879999,586,,,
,500.0,828,,416000,,709,,-7127.369198879999,586,,,
,500.0,832,,416000,,709,,-7127.369198879999,586,,,
0.0003,,,67808,420000,316.0820484161377,,1567.217414855957,,,0.10000000149011612,-5364.9187587999995,500.0
0.0003,500.0,836,68064,424000,238.32507801055908,708,1568.0695495605469,-7108.945951209999,598,0.10000000149011612,,
,500.0,840,,424000,,708,,-7108.945951209999,598,,,
,500.0,844,,424000,,708,,-7108.945951209999,598,,,
,500.0,848,,424000,,708,,-7108.945951209999,598,,,
0.0003,,,68432,430000,341.7239851951599,,1567.2810134887695,,,0.10000000149011612,-7716.2938730000005,500.0
0.0003,500.0,852,68560,432000,341.7255401611328,707,1569.5453186035156,-7097.78640263,610,0.10000000149011612,,
,500.0,856,,432000,,707,,-7097.78640263,610,,,
,500.0,860,,432000,,707,,-7097.78640263,610,,,
,500.0,864,,432000,,707,,-7097.78640263,610,,,
0.0003,,,69056,440000,242.5914182662964,,1571.325080871582,,,0.10000000149011612,-6621.096951199999,500.0
,500.0,868,,440000,,707,,-7121.775878659999,622,,,
,500.0,872,,440000,,707,,-7121.775878659999,622,,,
,500.0,876,,440000,,707,,-7121.775878659999,622,,,
,500.0,880,,440000,,707,,-7121.775878659999,622,,,
0.0003,500.0,884,69552,448000,230.4307680130005,710,1567.9820861816406,-7040.01898711,630,0.10000000149011612,,
,500.0,888,,448000,,710,,-7040.01898711,630,,,
,500.0,892,,448000,,710,,-7040.01898711,630,,,
,500.0,896,,448000,,710,,-7040.01898711,630,,,
0.0003,,,69680,450000,298.9369535446167,,1568.9901580810547,,,0.10000000149011612,-5151.9139776,500.0
0.0003,500.0,900,70064,456000,321.9663782119751,709,1571.6279373168945,-6912.88284376,642,0.10000000149011612,,
,500.0,904,,456000,,709,,-6912.88284376,642,,,
,500.0,908,,456000,,709,,-6912.88284376,642,,,
,500.0,912,,456000,,709,,-6912.88284376,642,,,
0.0003,,,70304,460000,288.36516857147217,,1565.2969055175781,,,0.10000000149011612,-7710.190304599999,500.0
0.0003,500.0,916,70560,464000,274.5066213607788,708,1567.5419998168945,-6786.891602760001,654,0.10000000149011612,,
,500.0,920,,464000,,708,,-6786.891602760001,654,,,
,500.0,924,,464000,,708,,-6786.891602760001,654,,,
,500.0,928,,464000,,708,,-6786.891602760001,654,,,
0.0003,,,70928,470000,260.04224920272827,,1569.1484680175781,,,0.10000000149011612,-6323.2621332,500.0
