time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
638,500.0,436000,6417.82773434,868,682,53200,1699.6834765625,-1474.4949560546875,0.0002,,
638,500.0,436000,6417.82773434,872,682,,,,,,
644,500.0,440000,6507.43470309,876,683,53700,1576.0661279296876,-1469.475654296875,0.0002,,
644,500.0,440000,6507.43470309,880,683,,,,,,
649,500.0,444000,6583.134768100001,884,683,54200,1491.6669287109376,-1471.33966796875,0.0002,,
649,500.0,444000,6583.134768100001,888,683,,,,,,
655,500.0,448000,6724.51534227,892,683,54700,1374.0358386230469,-1466.8394873046875,0.0002,,
655,500.0,448000,6724.51534227,896,683,,,,,,
661,500.0,452000,6842.9233644900005,900,683,55200,1270.9595153808593,-1469.41427734375,0.0002,,
661,500.0,452000,6842.9233644900005,904,683,,,,,,
667,500.0,456000,6985.446387649999,908,683,55700,1230.3014196777344,-1466.7478662109374,0.0002,,
667,500.0,456000,6985.446387649999,912,683,,,,,,
673,500.0,460000,7075.587336969999,916,683,56200,1199.70240234375,-1468.722236328125,0.0002,,
673,500.0,460000,7075.587336969999,920,683,,,,,,
679,500.0,464000,7150.590155590002,924,683,56700,1145.7868200683595,-1466.9595654296875,0.0002,,
679,500.0,464000,7150.590155590002,928,683,,,,,,
685,500.0,468000,7234.103907719999,932,683,57200,1128.9601794433593,-1468.38064453125,0.0002,,
685,500.0,468000,7234.103907719999,936,683,,,,,,
690,500.0,472000,7314.161517469998,940,683,57700,1085.901602783203,-1466.13587890625,0.0002,,
690,500.0,472000,7314.161517469998,944,683,,,,,,
696,500.0,476000,7386.559307159999,948,683,58200,1037.761981201172,-1468.1068408203125,0.0002,,
696,500.0,476000,7386.559307159999,952,683,,,,,,
,,480000,,,,58700,972.2468664550781,-1466.5702099609375,0.0002,500.0,7634.4294288
705,500.0,480000,7452.9457275600025,956,680,,,,,,
705,500.0,480000,7452.9457275600025,960,680,,,,,,
711,500.0,484000,7532.57455679,964,680,59200,964.0501062011718,-1465.872236328125,0.0002,,
711,500.0,484000,7532.57455679,968,680,,,,,,
716,500.0,488000,7620.618949760001,972,680,59700,979.8328637695313,-1465.779638671875,0.0002,,
716,500.0,488000,7620.618949760001,976,680,,,,,,
722,500.0,492000,7702.455048700001,980,680,60200,902.4753466796875,-1465.600595703125,0.0002,,
722,500.0,492000,7702.455048700001,984,680,,,,,,
728,500.0,496000,7755.219019579999,988,681,60700,894.1090112304687,-1465.4294580078124,0.0002,,
728,500.0,496000,7755.219019579999,992,681,,,,,,
733,500.0,500000,7775.5406348999995,996,681,61200,878.05837890625,-1464.3780078125,0.0002,,
733,500.0,500000,7775.5406348999995,1000,681,,,,,,
