train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,eval/mean_reward,eval/mean_ep_length
,,,,500.0,1160192,,236,-685.99529224,2316,,508,,
159871,2267.255859375,554.0574951171875,1.1175854206085205,500.0,1168192,0.00556661793962121,249,-665.6138908799999,2320,0.0003,512,,
,,,,500.0,1168192,,249,-665.6138908799999,2324,,512,,
,,,,500.0,1168192,,249,-665.6138908799999,2328,,512,,
,,,,500.0,1168192,,249,-665.6138908799999,2332,,512,,
160371,2226.7958984375,503.8686828613281,1.0962480306625366,500.0,1176192,-0.0002371103037148714,263,-666.43330017,2336,0.0003,517,,
,,,,500.0,1176192,,263,-666.43330017,2340,,517,,
,,,,500.0,1176192,,263,-666.43330017,2344,,517,,
,,,,500.0,1176192,,263,-666.43330017,2348,,517,,
160621,2199.71142578125,514.4714965820312,1.0797019004821777,,1180192,0.002344415755942464,,,,0.0003,,-631.6103768,500.0
160871,2199.372802734375,506.5790100097656,1.068496823310852,500.0,1184192,-0.0013831577962264419,280,-678.4528362699999,2352,0.0003,512,,
,,,,500.0,1184192,,280,-678.4528362699999,2356,,512,,
,,,,500.0,1184192,,280,-678.4528362699999,2360,,512,,
,,,,500.0,1184192,,280,-678.4528362699999,2364,,512,,
161371,2138.617431640625,353.4482116699219,1.0314444303512573,500.0,1192192,-0.001073728664778173,294,-698.56355198,2368,0.0003,516,,
,,,,500.0,1192192,,294,-698.56355198,2372,,516,,
,,,,500.0,1192192,,294,-698.56355198,2376,,516,,
,,,,500.0,1192192,,294,-698.56355198,2380,,516,,
161871,2119.8798828125,410.1963806152344,1.0028880834579468,,1200192,-0.0001366142532788217,,,,0.0003,,-448.4011592,500.0
,,,,500.0,1200192,,312,-686.2870801799997,2384,,512,,
,,,,500.0,1200192,,312,-686.2870801799997,2388,,512,,
,,,,500.0,1200192,,312,-686.2870801799997,2392,,512,,
,,,,500.0,1200192,,312,-686.2870801799997,2396,,512,,
162371,2072.31494140625,328.14080810546875,0.9731453657150269,500.0,1208192,0.00027310760924592614,325,-658.17787417,2400,0.0003,515,,
,,,,500.0,1208192,,325,-658.17787417,2404,,515,,
,,,,500.0,1208192,,325,-658.17787417,2408,,515,,
,,,,500.0,1208192,,325,-658.17787417,2412,,515,,
162871,2053.75634765625,311.4844970703125,0.9621920585632324,500.0,1216192,-0.00583942886441946,338,-670.1906660400001,2416,0.0003,519,,
,,,,500.0,1216192,,338,-670.1906660400001,2420,,519,,
,,,,500.0,1216192,,338,-670.1906660400001,2424,,519,,
,,,,500.0,1216192,,338,-670.1906660400001,2428,,519,,
163121,2024.84521484375,354.4656677246094,0.9472755193710327,,1220192,0.0031985267996788025,,,,0.0003,,-362.2611352,500.0
163371,2014.24169921875,358.3760681152344,0.9389154314994812,500.0,1224192,0.004807763732969761,356,-669.44708117,2432,0.0003,515,,
,,,,500.0,1224192,,356,-669.44708117,2436,,515,,
,,,,500.0,1224192,,356,-669.44708117,2440,,515,,
