rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
14503.999243829998,500.0,512,447,571,256000,,,,,,,,
14546.374814919996,500.0,516,447,580,260000,0.0003,31200,-1967.2333618164062,0.006484228121116757,602.7888586425781,1.7463481998443604,,
14546.374814919996,500.0,520,447,580,260000,,,,,,,,
14620.989737719998,500.0,524,447,589,264000,0.0003,31700,-1986.5192016601563,-0.01225787928327918,675.678720703125,1.787816002368927,,
14620.989737719998,500.0,528,447,589,264000,,,,,,,,
14556.047469239998,500.0,532,448,598,268000,0.0003,32200,-2006.42208984375,0.0008508868608623744,686.1598803710938,1.842105326652527,,
14556.047469239998,500.0,536,448,598,268000,,,,,,,,
14514.293301669999,500.0,540,448,606,272000,0.0003,32700,-2029.9936376953126,-0.007107218205928803,630.490708618164,1.8496321177482604,,
14514.293301669999,500.0,544,448,606,272000,,,,,,,,
14423.232964710001,500.0,548,448,615,276000,0.0003,33200,-2048.116220703125,-0.010356086678802967,574.5270568847657,1.865475959777832,,
14423.232964710001,500.0,552,448,615,276000,,,,,,,,
14483.712190190003,500.0,556,448,623,280000,0.0003,33700,-2066.0130859375,0.002694333661347628,596.9250109863282,1.8962066602706908,,
14483.712190190003,500.0,560,448,623,280000,,,,,,,,
14570.364770499998,500.0,564,449,632,284000,0.0003,34200,-2081.3037622070315,0.0073697719350457195,559.7474645996094,1.9194176745414735,,
14570.364770499998,500.0,568,449,632,284000,,,,,,,,
14522.711836319997,500.0,572,449,640,288000,0.0003,34700,-2101.0665478515625,-0.015515293087810278,570.3767114257812,1.9701745843887328,,
14522.711836319997,500.0,576,449,640,288000,,,,,,,,
14467.689314940002,500.0,580,449,649,292000,0.0003,35200,-2120.7495654296877,-0.016059897849336268,575.5285028076172,2.0165352773666383,,
14467.689314940002,500.0,584,449,649,292000,,,,,,,,
14459.314068090001,500.0,588,450,657,296000,0.0003,35700,-2135.983955078125,-0.001691602971404791,544.1743646240234,2.056860799789429,,
14459.314068090001,500.0,592,450,657,296000,,,,,,,,
14587.8887871,500.0,596,450,665,300000,0.0003,36200,-2150.5110205078126,0.0016278714314103126,610.2092535400391,2.0659103536605836,,
14587.8887871,500.0,600,450,665,300000,,,,,,,,
14627.89860152,500.0,604,450,674,304000,0.0003,36700,-2176.7538427734376,0.010118952933698893,569.7193902587891,2.060657935142517,,
14627.89860152,500.0,608,450,674,304000,,,,,,,,
14682.94245804,500.0,612,451,682,308000,0.0003,37200,-2196.1984814453126,-0.0023859450314193966,441.4011151123047,2.043782181739807,,
14682.94245804,500.0,616,451,682,308000,,,,,,,,
14627.841321749998,500.0,620,451,691,312000,0.0003,37700,-2220.6948876953124,-0.013429486053064465,372.99918060302736,2.0364081382751467,,
14627.841321749998,500.0,624,451,691,312000,,,,,,,,
14628.0030502,500.0,628,451,699,316000,0.0003,38200,-2243.1420751953124,-0.004615821051411331,361.0715270996094,2.0412313175201415,,
14628.0030502,500.0,632,451,699,316000,,,,,,,,
,,,,,320000,0.0003,38700,-2260.505791015625,-0.015261368993669748,385.4472845458984,2.08469162940979,500.0,15417.0001326
14715.376522629998,500.0,636,449,712,320000,,,,,,,,
14715.376522629998,500.0,640,449,712,320000,,,,,,,,
14777.6129069,500.0,644,449,720,324000,0.0003,39200,-2277.470146484375,-0.013258710652589798,377.88282958984377,2.1539876651763916,,
14777.6129069,500.0,648,449,720,324000,,,,,,,,
14721.02686295,500.0,652,449,728,328000,0.0003,39700,-2285.705771484375,-0.013642849549651146,370.70311157226564,2.2304779386520384,,
14721.02686295,500.0,656,449,728,328000,,,,,,,,
14634.589209099997,500.0,660,450,737,332000,0.0003,40200,-2303.2438818359374,-0.012960431426763534,369.6830773925781,2.294359998703003,,
14634.589209099997,500.0,664,450,737,332000,,,,,,,,
14710.42353974,500.0,668,450,746,336000,0.0003,40700,-2320.0096630859375,-0.010644456455484032,394.6138629150391,2.3522044801712036,,
14710.42353974,500.0,672,450,746,336000,,,,,,,,
14767.327966909997,500.0,676,450,754,340000,0.0003,41200,-2332.4941455078124,0.002107332032173872,363.8031750488281,2.400799822807312,,
14767.327966909997,500.0,680,450,754,340000,,,,,,,,
14898.346311169998,500.0,684,450,763,344000,0.0003,41700,-2350.9037255859375,-0.022317837574519217,376.26567321777344,2.422158842086792,,
14898.346311169998,500.0,688,450,763,344000,,,,,,,,
14821.411163630004,500.0,692,450,771,348000,0.0003,42200,-2357.29501953125,-0.011464091595262288,379.88144927978516,2.4491603326797486,,
14821.411163630004,500.0,696,450,771,348000,,,,,,,,
14821.905759020003,500.0,700,451,780,352000,0.0003,42700,-2373.2284130859375,-0.017502776235342025,355.4589196777344,2.4900307703018187,,
14821.905759020003,500.0,704,451,780,352000,,,,,,,,
14833.500793990002,500.0,708,451,788,356000,0.0003,43200,-2382.769580078125,-0.0020785538479685785,363.3194033813477,2.53450110912323,,
14833.500793990002,500.0,712,451,788,356000,,,,,,,,
14799.166067809998,500.0,716,451,797,360000,0.0003,43700,-2401.760439453125,-0.011320544499903917,361.4435754394531,2.5788394355773927,,
14799.166067809998,500.0,720,451,797,360000,,,,,,,,
14802.19781457,500.0,724,451,805,364000,0.0003,44200,-2406.8802587890623,-0.009823388699442149,391.61343475341795,2.632737717628479,,
14802.19781457,500.0,728,451,805,364000,,,,,,,,
14848.683560460002,500.0,732,451,814,368000,0.0003,44700,-2427.372431640625,-0.022931449823081495,376.45206176757813,2.6472445583343505,,
14848.683560460002,500.0,736,451,814,368000,,,,,,,,
14911.911291620001,500.0,740,452,822,372000,0.0003,45200,-2434.8145263671877,0.01795834854245186,388.34021362304685,2.6452697992324827,,
14911.911291620001,500.0,744,452,822,372000,,,,,,,,
14950.081291539993,500.0,748,452,831,376000,0.0003,45700,-2441.263837890625,0.0008853535912930966,376.9315185546875,2.6818908500671386,,
14950.081291539993,500.0,752,452,831,376000,,,,,,,,
14975.57655483,500.0,756,452,839,380000,0.0003,46200,-2453.0053271484376,-0.010553970597684384,368.330627746582,2.715124011039734,,
14975.57655483,500.0,760,452,839,380000,,,,,,,,
15008.013508209999,500.0,764,452,848,384000,0.0003,46700,-2464.5429541015624,0.00021909711882472037,387.97680419921875,2.705791435241699,,
15008.013508209999,500.0,768,452,848,384000,,,,,,,,
14985.7495181,500.0,772,452,856,388000,0.0003,47200,-2475.95849609375,-0.009076931085437535,374.2475427246094,2.7435420465469362,,
14985.7495181,500.0,776,452,856,388000,,,,,,,,
14921.473245120002,500.0,780,452,865,392000,0.0003,47700,-2487.2007861328125,0.008519575409591197,364.11273895263673,2.7700059843063354,,
14921.473245120002,500.0,784,452,865,392000,,,,,,,,
15068.83839802,500.0,788,453,874,396000,0.0003,48200,-2503.22724609375,-0.010973905324935912,345.22746002197266,2.753569416999817,,
15068.83839802,500.0,792,453,874,396000,,,,,,,,
,,,,,400000,0.0003,48700,-2509.846748046875,0.011838363502174615,354.4481607055664,2.738292164802551,500.0,15753.771329399999
14902.33135557,500.0,796,451,886,400000,,,,,,,,
14902.33135557,500.0,800,451,886,400000,,,,,,,,
